subclasse,municipio,saldomovimentacao,competenciamov
8111700,431340,-1,202509
8111700,431870,-1,202509
8121400,430760,1,202509
8020001,430760,1,202509
8111700,431340,-1,202509
8111700,431340,1,202509
8111700,431340,1,202509
8111700,431340,1,202509
8111700,431340,-1,202509
8111700,431340,1,202509
8130300,431870,-1,202509
8111700,431340,-1,202509
8111700,431340,-1,202509
8121400,430770,1,202509
8111700,431340,-1,202509
8111700,432000,-1,202509
8111700,431340,-1,202509
8121400,431340,1,202509
8020001,431340,-1,202509
8111700,431340,-1,202509
8121400,431870,-1,202509
3821100,430760,1,202509
8111700,432000,1,202509
8111700,431340,-1,202509
8111700,431340,-1,202509
8111700,431340,1,202509
8121400,430770,-1,202509
8121400,430770,-1,202509
3821100,431870,1,202509
8111700,431340,-1,202509
8111700,431340,-1,202509
8121400,432000,-1,202509
3821100,431870,-1,202509
8111700,431870,1,202509
8111700,432000,-1,202509
8111700,431340,-1,202509
8111700,431340,-1,202509
8121400,430390,-1,202509
8111700,431340,1,202509
8130300,431340,1,202509
8111700,431340,1,202509
8111700,430390,-1,202509
8111700,431870,-1,202509
8111700,431340,1,202509
8111700,430760,-1,202509
8111700,431870,-1,202509
8111700,431340,-1,202509
8111700,431340,-1,202509
8111700,430760,-1,202509
8111700,431340,1,202509
8111700,431340,-1,202509
8111700,431340,-1,202509
8121400,431340,1,202509
8111700,431340,-1,202509
8111700,431340,-1,202509
8111700,430770,1,202509
8111700,431340,-1,202509
8020001,431340,-1,202509
8121400,430770,-1,202509
8111700,431340,-1,202509
8111700,431340,1,202509
8121400,432000,1,202509
8111700,431990,1,202509
8121400,431340,1,202509
8111700,431340,1,202509
8111700,431340,-1,202509
8111700,431340,-1,202509
8111700,431340,-1,202509
8111700,431870,1,202509
8111700,431340,1,202509
8111700,431340,-1,202509
8111700,431340,-1,202509
8111700,431340,1,202509
8121400,432000,-1,202509
8130300,432000,1,202509
8111700,431340,-1,202509
8111700,431340,-1,202509
8111700,431340,1,202509
8121400,431340,-1,202509
8111700,431340,1,202509
8111700,431340,-1,202509
8111700,431340,-1,202509
8121400,432000,-1,202509
8111700,431340,-1,202509
8111700,431870,-1,202509
8121400,431340,-1,202509
8111700,431340,-1,202509
8111700,431340,-1,202509
8111700,431340,-1,202509
8020001,431340,1,202509
8111700,431340,-1,202509
8111700,431340,1,202509
8111700,431340,1,202509
8129000,431340,-1,202509
8121400,430770,1,202509
8111700,430770,-1,202509
8111700,431340,-1,202509
9700500,430390,-1,202509
8121400,432000,-1,202509
8111700,431340,-1,202509
8130300,431340,-1,202509
8121400,430760,1,202509
8121400,431340,1,202509
8121400,431870,-1,202509
8020001,431340,1,202509
8111700,431340,-1,202509
8111700,431340,1,202509
8111700,431340,-1,202509
8121400,430770,1,202509
8111700,431340,-1,202509
8111700,431340,-1,202509
8111700,431340,-1,202509
8129000,431340,-1,202509
8121400,431340,1,202509
8111700,431340,-1,202509
8111700,431340,-1,202509
8111700,431340,-1,202509
8111700,431340,-1,202509
8111700,431340,-1,202509
8111700,431340,1,202509
8111700,431340,-1,202509
8111700,431340,-1,202509
8122200,431870,-1,202509
8121400,430390,-1,202509
8020001,431340,-1,202509
8111700,431340,-1,202509
8111700,431870,1,202509
8111700,431340,1,202509
8111700,431870,-1,202509
8111700,431340,1,202509
8111700,431340,-1,202509
8111700,431340,-1,202509
8121400,432000,-1,202509
8020001,431340,-1,202509
8121400,431990,-1,202509
8111700,431340,1,202509
8111700,430770,-1,202509
8111700,431340,1,202509
8111700,431340,-1,202509
8111700,431340,-1,202509
8122200,431870,-1,202509
8121400,430390,1,202509
8111700,431340,-1,202509
8121400,431870,-1,202509
8111700,431340,-1,202509
8111700,431340,1,202509
8111700,431340,-1,202509
8111700,431340,-1,202509
8111700,431340,-1,202509
8111700,431340,-1,202509
8111700,430770,-1,202509
8111700,431870,1,202509
8129000,431990,-1,202509
8121400,430770,1,202509
8111700,431340,-1,202509
8111700,431340,-1,202509
8121400,432000,-1,202509
8121400,431340,1,202509
8121400,431870,-1,202509
8111700,431340,-1,202509
8111700,430760,1,202509
8121400,431340,-1,202509
8111700,431340,1,202509
8121400,432000,-1,202509
8111700,431340,-1,202509
8111700,431340,-1,202509
8111700,431340,-1,202509
8111700,431340,-1,202509
8111700,431340,-1,202509
8111700,431340,-1,202509
8111700,431340,-1,202509
8111700,431340,-1,202509
3811400,432000,-1,202509
8111700,430770,-1,202509
8111700,431870,1,202509
8111700,431340,-1,202509
8121400,431340,1,202509
8111700,431340,1,202509
8111700,431340,1,202509
8111700,431340,-1,202509
8121400,431870,-1,202509
8111700,430770,1,202509
8111700,431870,-1,202509
8111700,431340,-1,202509
8111700,431340,-1,202509
8121400,431990,-1,202509
8111700,431340,-1,202509
8121400,430390,-1,202509
8020001,431340,-1,202509
8121400,430760,1,202509
8129000,431340,-1,202509
8121400,431990,1,202509
8111700,431340,-1,202509
8121400,432000,-1,202509
8111700,431340,-1,202509
8020001,431340,-1,202509
8111700,431340,-1,202509
8121400,430760,-1,202509
8122200,430770,-1,202509
8111700,431340,-1,202509
8111700,431340,-1,202509
8121400,431340,1,202509
8111700,431340,-1,202509
8111700,431340,-1,202509
8020001,431340,1,202509
8111700,432000,-1,202509
8111700,431340,1,202509
8121400,431870,-1,202509
8111700,431340,-1,202509
8121400,430390,1,202509
8111700,431340,1,202509
8121400,432000,-1,202509
8121400,432000,1,202509
8122200,431870,1,202509
8111700,431340,-1,202509
8111700,431870,1,202509
8129000,431340,1,202509
8111700,431340,-1,202509
8111700,431340,-1,202509
8111700,431340,1,202509
8111700,431340,-1,202509
8111700,431340,1,202509
8111700,431340,-1,202509
8020001,431870,1,202509
8111700,431340,-1,202509
8111700,431340,-1,202509
8111700,431340,-1,202509
8111700,431340,-1,202509
8121400,431340,1,202509
8111700,431340,-1,202509
8122200,431870,1,202509
8111700,431340,-1,202509
8121400,430760,-1,202509
8111700,431340,-1,202509
8111700,431340,-1,202509
8121400,431340,-1,202509
8111700,431340,-1,202509
8111700,431340,-1,202509
8121400,431870,1,202509
8121400,430770,1,202509
8111700,432000,1,202509
8111700,431340,-1,202509
8121400,430760,1,202509
8121400,431340,-1,202509
8121400,431870,-1,202509
8111700,431340,-1,202509
8111700,431340,-1,202509
8111700,431340,-1,202509
8111700,431340,-1,202509
8111700,431340,-1,202509
3821100,431870,-1,202509
8111700,431340,-1,202509
8111700,431340,-1,202509
8122200,431870,1,202509
8111700,431340,-1,202509
8111700,431340,1,202509
8111700,431340,1,202509
3821100,431870,1,202509
8121400,431340,1,202509
8111700,431340,-1,202509
8111700,431340,1,202509
8111700,431340,-1,202509
8121400,431340,-1,202509
8130300,431340,-1,202509
8111700,431340,-1,202509
8020001,431340,-1,202509
8020001,430390,-1,202509
8111700,431340,1,202509
8121400,430760,1,202509
8111700,431340,-1,202509
8111700,431340,1,202509
3821100,431870,1,202509
8020001,431340,-1,202509
8111700,431340,-1,202509
8020001,431990,-1,202509
3821100,431870,-1,202509
8121400,430760,1,202509
8111700,431340,-1,202509
8111700,431340,-1,202509
8111700,431340,-1,202509
8111700,431340,1,202509
8111700,431340,-1,202510
8121400,431870,-1,202510
8122200,431870,1,202510
8121400,431340,-1,202510
8121400,431870,-1,202510
9700500,430390,1,202510
8111700,431340,1,202510
8122200,431080,1,202510
8121400,430760,-1,202510
8111700,431870,1,202510
8121400,431870,-1,202510
8121400,430770,-1,202510
8121400,432000,-1,202510
8020001,431340,-1,202510
8111700,431870,1,202510
8121400,431870,-1,202510
8111700,431340,1,202510
8111700,431870,1,202510
8122200,431870,-1,202510
8111700,432000,1,202510
8111700,431340,1,202510
8121400,431990,-1,202510
8111700,431340,-1,202510
8121400,430770,-1,202510
8121400,432000,-1,202510
3811400,430390,-1,202510
8121400,431870,1,202510
8111700,431870,-1,202510
8121400,432000,-1,202510
8121400,431870,-1,202510
8121400,431340,-1,202510
8130300,431870,1,202510
8111700,431990,-1,202510
8020001,431340,-1,202510
8111700,431340,-1,202510
8111700,431870,-1,202510
8121400,432000,-1,202510
8122200,430390,1,202510
8121400,431340,-1,202510
8130300,431870,1,202510
8111700,431870,1,202510
8121400,431870,-1,202510
8111700,431340,1,202510
8121400,431870,-1,202510
8111700,431340,1,202510
8129000,430760,-1,202510
8111700,430760,-1,202510
8121400,431340,-1,202510
8111700,431870,-1,202510
8111700,431340,-1,202510
8121400,432000,1,202510
8111700,431340,1,202510
8130300,431340,1,202510
8111700,431870,1,202510
8111700,431340,-1,202510
8111700,431870,1,202510
8111700,431340,1,202510
8111700,431870,-1,202510
8111700,431340,1,202510
8111700,431870,1,202510
8111700,431340,1,202510
8111700,432000,1,202510
8121400,431870,-1,202510
8020001,430760,1,202510
8111700,431340,1,202510
8111700,431340,1,202510
8111700,431990,-1,202510
8111700,431340,-1,202510
8111700,431340,-1,202510
8020001,431340,1,202510
8121400,431340,-1,202510
8020001,431340,-1,202510
8121400,431870,-1,202510
8122200,430770,-1,202510
8121400,431870,-1,202510
8111700,430760,-1,202510
8121400,431870,-1,202510
8121400,431870,-1,202510
8111700,432000,1,202510
3811400,431870,-1,202510
8111700,430760,1,202510
8121400,430760,1,202510
8111700,431870,1,202510
8111700,431340,-1,202510
8111700,431340,1,202510
8111700,431870,-1,202510
8121400,431870,1,202510
8121400,431870,-1,202510
8121400,431340,-1,202510
8111700,431340,1,202510
8111700,431870,-1,202510
8121400,431340,1,202510
8121400,430770,-1,202510
8121400,431870,-1,202510
8111700,431340,-1,202510
8111700,431870,-1,202510
8111700,431340,1,202510
8111700,431340,1,202510
8121400,431990,-1,202510
8121400,432000,-1,202510
8111700,432000,-1,202510
8111700,431340,-1,202510
8121400,432000,-1,202510
8111700,431870,1,202510
8121400,431870,1,202510
8111700,431340,1,202510
8111700,431340,1,202510
3811400,430390,-1,202510
8020001,430390,1,202510
8111700,431340,-1,202510
8111700,431340,1,202510
8121400,432000,-1,202510
8111700,431340,-1,202510
8121400,430390,1,202510
8020001,431870,1,202510
8020001,431340,1,202510
8121400,430760,1,202510
3811400,431870,1,202510
8111700,431340,1,202510
9700500,430390,-1,202510
8121400,431870,-1,202510
8111700,431340,1,202510
8111700,431340,-1,202510
8130300,431340,1,202510
8121400,430760,1,202510
8122200,431870,-1,202510
8121400,431340,1,202510
8121400,431340,-1,202510
8121400,430760,-1,202510
8122200,430770,-1,202510
8129000,431990,-1,202510
8111700,431870,-1,202510
8121400,431870,-1,202510
8111700,431870,-1,202510
8111700,431340,-1,202510
9700500,430390,1,202510
8121400,430770,-1,202510
8130300,431340,-1,202510
8121400,431340,1,202510
8111700,430770,1,202510
8111700,431340,1,202510
8121400,431340,-1,202510
8122200,432000,-1,202510
8122200,430770,-1,202510
8111700,431870,-1,202510
3821100,431870,1,202510
8121400,430770,-1,202510
8111700,431340,-1,202510
8020001,431340,-1,202510
8121400,431340,-1,202510
8121400,431990,-1,202510
8111700,431870,1,202510
8111700,431870,-1,202510
8121400,432000,-1,202510
8121400,431340,1,202510
8111700,431340,-1,202510
8111700,431340,-1,202510
8111700,431340,-1,202510
8111700,431340,-1,202510
8121400,432000,-1,202510
8121400,431870,-1,202510
8111700,430760,1,202510
8121400,431870,-1,202510
8129000,431340,-1,202510
8121400,432000,-1,202510
8121400,431340,1,202510
8020001,430390,1,202510
8111700,432000,1,202510
8121400,431990,1,202510
8121400,431340,-1,202510
8121400,431870,-1,202510
8121400,431870,-1,202510
8122200,430390,1,202510
8121400,430770,1,202510
8121400,432000,-1,202510
8111700,430770,-1,202510
8121400,430770,1,202510
8111700,430760,-1,202510
8121400,431870,-1,202510
8121400,430770,1,202510
8111700,431340,1,202510
8111700,431340,1,202510
8111700,431870,-1,202510
8111700,431340,-1,202510
8111700,431870,1,202510
3811400,430390,-1,202510
8111700,431340,1,202510
8111700,431340,1,202510
8121400,431340,-1,202510
8121400,430760,1,202510
8121400,430770,-1,202510
8111700,431340,1,202510
8111700,431990,-1,202510
8121400,431870,-1,202510
8020001,430760,1,202510
8020001,430770,1,202510
8111700,431340,1,202510
8121400,430760,-1,202510
8121400,430390,-1,202510
8111700,430770,1,202510
8111700,431870,1,202510
8020001,431990,1,202510
8020001,431870,-1,202510
8111700,431340,-1,202510
8111700,431870,1,202510
3821100,430760,-1,202510
8111700,431340,1,202510
8129000,431340,-1,202510
8122200,431870,1,202510
3811400,431870,-1,202510
8129000,431870,-1,202510
8121400,431870,-1,202510
8121400,431870,-1,202510
8121400,432000,1,202510
8111700,431870,1,202510
8121400,431870,-1,202510
8130300,430760,1,202510
8121400,430770,1,202510
8121400,431340,1,202510
8020001,431340,-1,202510
8111700,431340,1,202510
8121400,432000,1,202510
8111700,431340,-1,202510
8111700,431340,1,202510
8111700,430760,-1,202510
8121400,432000,-1,202510
8020001,430390,1,202510
8121400,431870,-1,202510
8121400,432000,1,202510
8111700,431340,-1,202510
8121400,431870,-1,202510
8121400,431870,-1,202510
8020001,431340,1,202510
8111700,432000,-1,202510
8111700,431340,-1,202510
8121400,431870,1,202510
8122200,430390,1,202510
8122200,430390,1,202510
8129000,431340,-1,202510
3821100,431870,1,202510
8111700,431340,-1,202510
8121400,431340,1,202510
8121400,430390,1,202510
8130300,431870,-1,202510
8121400,430770,-1,202510
8111700,432000,-1,202510
8020001,431340,1,202510
8020001,431340,1,202510
8121400,431870,-1,202510
8121400,431340,1,202510
8121400,431340,-1,202510
8020001,431340,1,202510
8020001,431340,-1,202510
8121400,431340,-1,202510
8111700,431340,-1,202510
8121400,431870,-1,202510
8121400,430770,1,202510
8121400,432000,1,202510
8121400,430770,1,202510
8121400,430760,1,202510
8111700,431340,-1,202510
8130300,431870,1,202510
8111700,431340,-1,202510
8111700,431870,-1,202510
8111700,431990,-1,202510
8121400,430390,1,202510
8020001,430770,1,202510
8121400,430770,1,202510
8111700,430760,-1,202510
8111700,431340,-1,202510
8121400,431870,-1,202510
8020001,431340,1,202510
8020001,431340,1,202510
3811400,431870,-1,202510
8121400,430770,1,202510
8111700,431340,1,202510
8111700,431870,-1,202510
8121400,431340,1,202510
8111700,432000,1,202510
8121400,431870,-1,202510
8111700,432000,-1,202510
8121400,431870,-1,202510
8111700,431340,1,202510
8111700,432000,1,202510
8121400,431870,-1,202510
8121400,430760,-1,202510
8111700,431870,1,202510
8111700,431340,-1,202510
3821100,431870,-1,202510
8121400,431340,-1,202510
8111700,431340,-1,202510
8121400,431340,-1,202510
8121400,431340,1,202510
8111700,430770,1,202510
8111700,431340,-1,202510
8130300,431870,-1,202510
8111700,431340,-1,202510
8121400,431990,-1,202510
8121400,432000,-1,202510
8121400,431870,-1,202510
8111700,430390,-1,202510
8111700,431340,1,202510
8121400,430390,1,202510
8111700,432000,-1,202510
8121400,431870,-1,202510
8121400,431340,-1,202510
8121400,431340,-1,202510
8111700,432000,1,202510
8111700,431340,1,202510
8121400,431340,1,202510
8111700,431340,-1,202510
8111700,430760,1,202510
8121400,431340,-1,202510
8111700,431870,-1,202510
8111700,431340,1,202510
8122200,430770,-1,202510
8111700,431340,-1,202510
8121400,432000,1,202510
3821100,431870,-1,202510
8121400,431990,-1,202510
8111700,431340,-1,202510
8121400,431340,1,202510
8020001,431340,1,202510
8121400,432000,-1,202510
8121400,430390,-1,202510
8020001,431340,-1,202510
8111700,431340,-1,202510
8121400,431340,-1,202510
8130300,431870,1,202510
8111700,430770,-1,202510
8121400,430390,-1,202510
8111700,431870,1,202510
8121400,431870,1,202510
8020001,431340,1,202510
8121400,431870,-1,202510
8122200,431870,-1,202510
8111700,430770,1,202510
8121400,430760,1,202510
8121400,430760,1,202510
8020001,431340,1,202510
8020001,430770,1,202510
8111700,431340,1,202510
8121400,431870,1,202510
8111700,430760,1,202510
3821100,431870,-1,202510
8111700,431340,1,202510
8121400,430390,1,202510
8111700,431340,-1,202510
8121400,431340,1,202510
8111700,431340,-1,202510
8111700,431340,1,202510
8121400,432000,-1,202510
8121400,431870,-1,202510
8111700,431340,1,202510
8111700,431340,1,202510
8111700,431340,-1,202510
8121400,431870,-1,202510
8111700,431340,-1,202510
8122200,430770,-1,202510
8121400,431340,-1,202510
8111700,431340,-1,202510
8121400,430390,1,202510
8121400,432000,1,202510
8111700,431340,-1,202510
8121400,432000,-1,202510
8111700,430760,-1,202510
8111700,431870,-1,202510
8111700,431340,1,202510
8111700,431340,1,202510
8121400,430770,1,202510
8121400,431340,-1,202510
8111700,431340,-1,202510
8111700,431870,-1,202510
8111700,431340,-1,202510
8111700,431870,1,202510
8122200,431870,1,202510
8122200,432000,-1,202510
8121400,431340,-1,202510
8121400,430760,-1,202510
8111700,431340,-1,202510
8020001,431340,-1,202510
8020001,431340,-1,202510
8111700,431340,-1,202510
8129000,431340,1,202510
8111700,431340,1,202510
8020001,431870,1,202510
8121400,431990,1,202510
8111700,431340,-1,202510
8121400,431870,-1,202510
8129000,430770,1,202510
8111700,431340,-1,202510
8121400,431340,1,202510
8020001,430770,-1,202510
8121400,431340,-1,202510
8121400,432000,-1,202510
8111700,431870,1,202510
8111700,431340,-1,202510
8121400,432000,1,202510
8111700,431340,1,202510
8111700,431870,-1,202510
8111700,431340,-1,202510
8121400,430770,1,202510
8130300,431340,-1,202510
8111700,430760,1,202510
8111700,431340,1,202510
8121400,431990,-1,202510
8111700,431870,1,202510
8111700,431870,-1,202510
8111700,431340,-1,202510
3821100,431870,-1,202510
8121400,432000,1,202510
3839401,431870,-1,202510
9700500,430390,-1,202510
8121400,431870,-1,202510
8121400,431340,1,202510
8121400,430760,-1,202510
8121400,431340,-1,202510
8111700,431340,1,202510
8121400,432000,-1,202510
8121400,431870,1,202510
8020001,431340,1,202510
8121400,431870,-1,202510
8111700,431870,-1,202510
8111700,430390,1,202510
8121400,430770,-1,202510
8020001,431340,-1,202510
8020001,430390,1,202510
8020001,431340,1,202510
8121400,430770,-1,202510
8020001,431340,1,202510
8121400,431870,-1,202510
3811400,432000,-1,202510
8121400,430390,1,202510
8121400,431990,-1,202510
8121400,430760,-1,202510
8121400,431340,1,202510
8111700,431340,-1,202510
8111700,431340,1,202510
8111700,431870,-1,202510
8121400,431870,-1,202510
8121400,431990,-1,202510
8111700,431340,-1,202510
8111700,431870,-1,202510
8111700,431870,-1,202510
8020001,431080,-1,202510
8122200,430390,-1,202510
8121400,431340,1,202510
8111700,431340,1,202510
8129000,431870,-1,202510
8121400,432000,-1,202510
8121400,432000,-1,202510
8020001,431340,-1,202510
8111700,431340,1,202510
3821100,431870,1,202510
8111700,432000,-1,202510
8121400,431870,-1,202510
8111700,431340,1,202510
8121400,432000,-1,202510
8111700,430770,1,202510
8111700,431340,1,202510
8121400,430390,-1,202510
8111700,431340,-1,202510
8121400,431340,1,202510
8121400,431870,-1,202510
8111700,431340,-1,202510
8111700,430760,1,202510
8111700,430760,1,202510
8111700,431870,-1,202510
8020001,431340,-1,202510
8121400,431340,-1,202510
8111700,430760,1,202510
8111700,431340,-1,202510
8121400,432000,-1,202510
8121400,431990,-1,202510
8121400,430760,-1,202510
8111700,432000,-1,202510
8130300,432000,-1,202510
8111700,431340,-1,202510
8121400,430770,1,202510
8111700,431340,-1,202510
8020001,432000,1,202510
8020001,432000,1,202510
8111700,431340,-1,202510
8111700,431340,-1,202510
8020001,431340,-1,202510
8121400,431870,1,202510
8020001,431340,-1,202510
8121400,430390,-1,202510
8111700,432000,1,202510
8111700,431870,1,202510
8121400,431340,-1,202510
8020001,431340,1,202510
8111700,431340,1,202510
8121400,432000,-1,202510
8111700,431340,1,202510
3811400,431870,1,202510
9700500,430390,-1,202510
8111700,432000,1,202510
8111700,431870,-1,202510
8122200,430770,1,202510
8121400,432000,-1,202510
8020001,431990,-1,202510
8121400,430390,-1,202510
8130300,432000,1,202510
8020001,431340,-1,202510
8111700,430770,1,202510
8121400,430770,-1,202510
8111700,430770,1,202510
8121400,431340,1,202510
8111700,431340,1,202510
8111700,431340,-1,202510
8121400,432000,1,202510
8111700,431340,-1,202510
8111700,431340,1,202510
8121400,430770,1,202510
8121400,432000,-1,202510
8121400,432000,1,202510
8121400,431870,-1,202510
8111700,432000,1,202510
8129000,431340,1,202510
8111700,431870,-1,202510
8121400,431340,1,202510
8129000,431340,1,202510
8130300,431870,-1,202510
8121400,431870,-1,202510
8121400,431340,-1,202510
8121400,431340,-1,202510
8111700,431340,1,202510
8121400,431870,-1,202510
8111700,431340,1,202510
8111700,431870,1,202510
8121400,431990,-1,202510
8111700,430390,1,202510
8111700,431870,1,202510
8111700,431340,1,202510
8111700,431340,1,202510
8020001,431340,1,202510
8121400,430770,1,202510
8121400,431340,-1,202510
8111700,432000,1,202510
8111700,431870,-1,202510
8111700,432000,1,202510
8111700,431340,1,202510
8130300,431340,1,202510
8121400,431870,-1,202510
8121400,430770,-1,202510
8111700,431340,-1,202510
8111700,430770,1,202510
8111700,431870,1,202510
8111700,431870,1,202510
8121400,430390,-1,202510
8121400,431870,-1,202510
8111700,431340,-1,202510
8020001,431340,1,202510
8111700,431340,-1,202510
8121400,432000,1,202510
8111700,431340,-1,202510
8111700,432000,-1,202510
8111700,431340,-1,202510
8121400,430760,-1,202510
8111700,430760,1,202510
8111700,432000,1,202510
8111700,431870,1,202510
8111700,431340,1,202510
8121400,431340,-1,202510
8121400,430760,-1,202510
8111700,431340,-1,202510
8121400,432000,1,202510
8111700,430770,-1,202510
8020001,431340,-1,202510
8111700,431340,-1,202510
3811400,431870,1,202510
8121400,431340,-1,202510
8121400,431990,-1,202510
8122200,431870,-1,202510
8121400,431990,1,202510
8111700,431340,1,202510
8121400,432000,-1,202510
8020001,431340,-1,202510
8020001,431870,1,202510
8111700,432000,1,202510
8121400,431870,-1,202510
8111700,431870,1,202510
8111700,431340,-1,202510
8121400,431340,1,202510
8121400,431870,-1,202510
8121400,430390,-1,202510
8111700,431340,-1,202510
8111700,431870,-1,202510
8129000,431340,1,202510
8122200,431080,1,202510
8121400,431870,-1,202510
8121400,430770,-1,202510
8121400,431870,-1,202510
8121400,431340,-1,202510
8111700,431340,1,202510
8121400,430390,-1,202510
3811400,430390,1,202510
8129000,430770,-1,202510
8111700,431340,1,202510
3811400,431870,1,202510
8121400,431340,-1,202510
8121400,432000,-1,202510
8111700,430390,-1,202510
8122200,431870,1,202510
8111700,431340,1,202510
8111700,430760,-1,202510
8121400,431340,-1,202510
3811400,431870,1,202510
8111700,431340,1,202510
8111700,431340,-1,202510
8111700,430760,1,202510
8020001,432000,1,202510
8121400,430390,1,202510
8111700,430760,-1,202510
8121400,431990,1,202510
8111700,431340,1,202510
8121400,432000,-1,202510
8111700,431870,-1,202510
8111700,431870,1,202510
8121400,431340,1,202510
8020001,430390,1,202510
8121400,430390,-1,202510
8020001,432000,-1,202510
8121400,431340,-1,202510
8111700,431340,-1,202510
8111700,431870,1,202510
8111700,431340,-1,202510
8121400,431870,-1,202510
8121400,431870,-1,202510
8121400,431990,1,202510
8111700,431870,1,202510
3811400,431870,1,202510
8111700,430770,-1,202510
8121400,431340,1,202510
8111700,431340,-1,202510
8121400,431340,1,202510
8111700,430390,-1,202510
8111700,431870,-1,202510
8121400,431340,-1,202510
8121400,431870,1,202510
8121400,430760,1,202510
8111700,430770,1,202510
8111700,430770,-1,202510
8121400,431340,1,202510
8111700,432000,1,202510
8111700,431340,1,202510
8111700,430760,-1,202510
8111700,432000,1,202510
8111700,431340,1,202510
8111700,431870,-1,202510
8020001,431340,-1,202510
8122200,431870,-1,202510
8121400,431340,-1,202510
8129000,431340,-1,202510
8111700,431870,1,202510
8020001,431340,-1,202510
8111700,431870,1,202510
8111700,431340,1,202510
8121400,431870,-1,202510
3821100,431870,1,202510
8121400,431870,-1,202510
8122200,430770,1,202510
8111700,431340,-1,202510
8121400,430390,1,202510
8111700,431340,1,202511
8111700,431340,-1,202511
8020001,431340,-1,202511
8121400,431870,-1,202511
8111700,431340,-1,202511
8111700,431340,1,202511
8020001,431340,1,202511
8111700,431340,1,202511
8111700,431340,1,202511
8121400,430390,-1,202511
8111700,431340,1,202511
8111700,431340,1,202511
3811400,431870,1,202511
8121400,431340,1,202511
8111700,431340,1,202511
8121400,431340,1,202511
8122200,432000,-1,202511
8111700,430760,-1,202511
8111700,431870,1,202511
8020001,431340,1,202511
8111700,430390,-1,202511
8121400,431340,1,202511
8111700,432000,1,202511
8121400,431870,-1,202511
8130300,431340,1,202511
8121400,430390,-1,202511
8111700,431870,-1,202511
8111700,431340,-1,202511
8020001,431340,-1,202511
8111700,431340,-1,202511
8121400,431990,-1,202511
8129000,431340,1,202511
8111700,431870,-1,202511
8111700,431340,1,202511
3821100,431870,1,202511
8020001,431340,1,202511
8111700,431870,-1,202511
3811400,431870,1,202511
8121400,431340,1,202511
8020001,431870,-1,202511
8111700,431340,1,202511
8111700,431340,-1,202511
8111700,430770,-1,202511
8111700,432000,1,202511
8111700,431340,1,202511
8020001,431340,1,202511
8121400,431340,1,202511
8111700,431340,1,202511
8111700,431340,-1,202511
8111700,431340,-1,202511
8020001,431990,1,202511
8121400,431340,1,202511
8111700,431340,1,202511
8111700,431340,1,202511
3821100,431870,-1,202511
8020001,431870,1,202511
8111700,431340,1,202511
8121400,431340,1,202511
8121400,431870,-1,202511
8121400,430770,-1,202511
8121400,431990,1,202511
8122200,431870,1,202511
8111700,431990,-1,202511
8111700,431870,1,202511
8129000,430770,1,202511
8111700,430770,1,202511
8130300,431340,-1,202511
8111700,431340,-1,202511
8111700,430770,-1,202511
8130300,431870,1,202511
8122200,431870,1,202511
8111700,431340,-1,202511
8111700,431340,1,202511
8111700,432000,-1,202511
8020001,431340,1,202511
8111700,431340,-1,202511
8121400,431340,1,202511
8111700,431340,-1,202511
8121400,431870,1,202511
8111700,431340,-1,202511
3821100,430760,-1,202511
8020001,430390,-1,202511
8122200,432000,1,202511
8111700,432000,1,202511
8121400,431340,1,202511
8111700,431340,-1,202511
8121400,430390,1,202511
8121400,431340,-1,202511
8121400,431340,-1,202511
8121400,430390,1,202511
8121400,430760,-1,202511
8121400,431990,1,202511
8121400,432000,-1,202511
8111700,431340,-1,202511
8121400,431340,1,202511
3811400,430390,1,202511
8111700,431870,-1,202511
8111700,430770,-1,202511
8020001,431080,1,202511
8111700,430770,-1,202511
8121400,431870,-1,202511
8020001,431340,1,202511
8111700,431870,1,202511
8111700,431870,-1,202511
8020001,431340,1,202511
8121400,431340,-1,202511
8111700,431870,-1,202511
8121400,431340,-1,202511
8121400,431340,-1,202511
8111700,431340,1,202511
8111700,431870,1,202511
8111700,432000,1,202511
8111700,432000,-1,202511
8111700,431340,1,202511
8111700,431340,1,202511
8020001,431340,-1,202511
8111700,431340,1,202511
8020001,431340,-1,202511
8111700,431340,-1,202511
8121400,431340,-1,202511
8121400,431340,1,202511
8111700,431340,-1,202511
8121400,431340,1,202511
8111700,432000,1,202511
8111700,431990,-1,202511
8122200,431870,-1,202511
8111700,431340,1,202511
8111700,431870,1,202511
8111700,431340,-1,202511
8020001,431340,1,202511
8111700,430770,1,202511
8130300,431870,1,202511
8121400,431340,-1,202511
8121400,431870,1,202511
8020001,431340,1,202511
8111700,431340,-1,202511
8020001,431340,-1,202511
8121400,431340,-1,202511
8121400,430760,1,202511
8111700,431340,-1,202511
8121400,431340,-1,202511
8121400,430390,-1,202511
8121400,430770,1,202511
8111700,431870,1,202511
8121400,431340,-1,202511
8111700,431870,-1,202511
8121400,431340,1,202511
8020001,431870,-1,202511
8111700,431340,-1,202511
8111700,431870,-1,202511
8111700,431870,-1,202511
8111700,431340,1,202511
8111700,431340,1,202511
8121400,431340,1,202511
8020001,430760,1,202511
8111700,431870,-1,202511
8130300,431870,-1,202511
8121400,431340,1,202511
8121400,431340,-1,202511
8111700,431870,-1,202511
8111700,431990,-1,202511
8121400,430770,1,202511
8111700,431340,-1,202511
8020001,431990,1,202511
8121400,430760,1,202511
